sample_id,bert_alerts
161,"[{""offset"":18,""char"":""爲"",""error_prob"":0.9732},{""offset"":76,""char"":""興"",""error_prob"":0.9935},{""offset"":79,""char"":""詣"",""error_prob"":0.983},{""offset"":87,""char"":""溢"",""error_prob"":0.9417},{""offset"":99,""char"":""殘"",""error_prob"":0.9562},{""offset"":104,""char"":""鄉"",""error_prob"":0.9794},{""offset"":119,""char"":""輿"",""error_prob"":0.9971},{""offset"":134,""char"":""剛"",""error_prob"":0.8884},{""offset"":153,""char"":""丗"",""error_prob"":0.9804},{""offset"":160,""char"":""興"",""error_prob"":0.9526},{""offset"":212,""char"":""賚"",""error_prob"":0.9882},{""offset"":243,""char"":""嘗"",""error_prob"":0.9918},{""offset"":364,""char"":""儗"",""error_prob"":0.802}]"
162,"[{""offset"":30,""char"":""異"",""error_prob"":0.8657},{""offset"":33,""char"":""杳"",""error_prob"":0.9741},{""offset"":36,""char"":""卯"",""error_prob"":0.8699},{""offset"":47,""char"":""凾"",""error_prob"":0.9843},{""offset"":48,""char"":""苔"",""error_prob"":0.9568},{""offset"":55,""char"":""樝"",""error_prob"":0.9896},{""offset"":89,""char"":""賓"",""error_prob"":0.9619},{""offset"":101,""char"":""卯"",""error_prob"":0.9533},{""offset"":107,""char"":""閣"",""error_prob"":0.8836}]"
163,"[{""offset"":32,""char"":""恐"",""error_prob"":0.8424},{""offset"":88,""char"":""鰌"",""error_prob"":0.8881},{""offset"":112,""char"":""闗"",""error_prob"":0.964},{""offset"":339,""char"":""聱"",""error_prob"":0.9417}]"
164,"[{""offset"":160,""char"":""耒"",""error_prob"":0.9051},{""offset"":195,""char"":""杳"",""error_prob"":0.9825}]"
165,"[{""offset"":64,""char"":""㿗"",""error_prob"":0.9268}]"
166,"[{""offset"":42,""char"":""斫"",""error_prob"":0.9115},{""offset"":49,""char"":""斫"",""error_prob"":0.906},{""offset"":70,""char"":""斫"",""error_prob"":0.8985},{""offset"":80,""char"":""氣"",""error_prob"":0.9335},{""offset"":84,""char"":""九"",""error_prob"":0.9929},{""offset"":96,""char"":""㧥"",""error_prob"":0.9367},{""offset"":112,""char"":""齒"",""error_prob"":0.915},{""offset"":226,""char"":""達"",""error_prob"":0.9677}]"
167,"[{""offset"":8,""char"":""任"",""error_prob"":0.8958}]"
168,"[{""offset"":183,""char"":""績"",""error_prob"":0.947}]"
169,[]
170,"[{""offset"":0,""char"":""大"",""error_prob"":0.8881},{""offset"":1,""char"":""明"",""error_prob"":0.8207},{""offset"":2,""char"":""一"",""error_prob"":0.8894},{""offset"":41,""char"":""御"",""error_prob"":0.9621},{""offset"":42,""char"":""寳"",""error_prob"":0.9856}]"
171,"[{""offset"":80,""char"":""髮"",""error_prob"":0.8694},{""offset"":168,""char"":""天"",""error_prob"":0.8423}]"
172,"[{""offset"":0,""char"":""衰"",""error_prob"":0.8136},{""offset"":261,""char"":""贑"",""error_prob"":0.9352}]"
173,"[{""offset"":5,""char"":""蟞"",""error_prob"":0.9869},{""offset"":17,""char"":""㼶"",""error_prob"":0.865},{""offset"":23,""char"":""褋"",""error_prob"":0.8806}]"
174,"[{""offset"":9,""char"":""濟"",""error_prob"":0.8888},{""offset"":142,""char"":""翰"",""error_prob"":0.8761},{""offset"":150,""char"":""氏"",""error_prob"":0.9952},{""offset"":242,""char"":""友"",""error_prob"":0.9067},{""offset"":323,""char"":""社"",""error_prob"":0.9753},{""offset"":361,""char"":""勑"",""error_prob"":0.9385},{""offset"":362,""char"":""邁"",""error_prob"":0.8217},{""offset"":429,""char"":""邾"",""error_prob"":0.9707},{""offset"":502,""char"":""良"",""error_prob"":0.8555},{""offset"":514,""char"":""氏"",""error_prob"":0.9908},{""offset"":579,""char"":""氏"",""error_prob"":0.9154}]"
175,"[{""offset"":29,""char"":""貌"",""error_prob"":0.9129},{""offset"":136,""char"":""已"",""error_prob"":0.8963},{""offset"":219,""char"":""濟"",""error_prob"":0.84},{""offset"":221,""char"":""咸"",""error_prob"":0.8047},{""offset"":284,""char"":""長"",""error_prob"":0.8026},{""offset"":303,""char"":""良"",""error_prob"":0.9341},{""offset"":386,""char"":""藥"",""error_prob"":0.8787},{""offset"":474,""char"":""濟"",""error_prob"":0.9261}]"
176,"[{""offset"":163,""char"":""享"",""error_prob"":0.8488},{""offset"":230,""char"":""一"",""error_prob"":0.8895}]"
177,"[{""offset"":248,""char"":""箸"",""error_prob"":0.8071}]"
178,"[{""offset"":12,""char"":""木"",""error_prob"":0.8608},{""offset"":194,""char"":""凢"",""error_prob"":0.9356}]"
179,"[{""offset"":484,""char"":""鴻"",""error_prob"":0.9524}]"
180,"[{""offset"":196,""char"":""便"",""error_prob"":0.9467},{""offset"":222,""char"":""升"",""error_prob"":0.9816},{""offset"":248,""char"":""今"",""error_prob"":0.9192},{""offset"":346,""char"":""具"",""error_prob"":0.9859},{""offset"":360,""char"":""馬"",""error_prob"":0.9967}]"
181,"[{""offset"":9,""char"":""晌"",""error_prob"":0.8016}]"
182,"[{""offset"":160,""char"":""己"",""error_prob"":0.9663},{""offset"":296,""char"":""暎"",""error_prob"":0.8362}]"
183,"[{""offset"":0,""char"":""離"",""error_prob"":0.9387},{""offset"":1,""char"":""子"",""error_prob"":0.9336},{""offset"":2,""char"":""勦"",""error_prob"":0.9158},{""offset"":3,""char"":""絶"",""error_prob"":0.8475},{""offset"":24,""char"":""山"",""error_prob"":0.8388},{""offset"":98,""char"":""冦"",""error_prob"":0.8893}]"
184,"[{""offset"":46,""char"":""蓋"",""error_prob"":0.8394}]"
185,"[{""offset"":195,""char"":""脖"",""error_prob"":0.9121},{""offset"":294,""char"":""闢"",""error_prob"":0.9624},{""offset"":315,""char"":""趙"",""error_prob"":0.8374},{""offset"":316,""char"":""府"",""error_prob"":0.8597},{""offset"":317,""char"":""居"",""error_prob"":0.8052},{""offset"":319,""char"":""堂"",""error_prob"":0.8037},{""offset"":320,""char"":""靈"",""error_prob"":0.9152},{""offset"":321,""char"":""區"",""error_prob"":0.9506},{""offset"":325,""char"":""雲"",""error_prob"":0.8702}]"
186,"[{""offset"":36,""char"":""蚩"",""error_prob"":0.9506},{""offset"":58,""char"":""閑"",""error_prob"":0.873},{""offset"":289,""char"":""趙"",""error_prob"":0.9473},{""offset"":290,""char"":""府"",""error_prob"":0.9468},{""offset"":291,""char"":""居"",""error_prob"":0.9592},{""offset"":292,""char"":""敬"",""error_prob"":0.9578},{""offset"":293,""char"":""堂"",""error_prob"":0.9683},{""offset"":294,""char"":""雲"",""error_prob"":0.9812},{""offset"":295,""char"":""區"",""error_prob"":0.9891},{""offset"":296,""char"":""經"",""error_prob"":0.9807},{""offset"":297,""char"":""卷"",""error_prob"":0.9785},{""offset"":298,""char"":""二"",""error_prob"":0.9817},{""offset"":299,""char"":""三"",""error_prob"":0.9882},{""offset"":300,""char"":""悌"",""error_prob"":0.9886}]"
187,"[{""offset"":13,""char"":""將"",""error_prob"":0.9399},{""offset"":278,""char"":""趙"",""error_prob"":0.9205},{""offset"":279,""char"":""府"",""error_prob"":0.9465},{""offset"":280,""char"":""居"",""error_prob"":0.9333},{""offset"":281,""char"":""敬"",""error_prob"":0.9238},{""offset"":282,""char"":""堂"",""error_prob"":0.9476},{""offset"":283,""char"":""二"",""error_prob"":0.9715},{""offset"":284,""char"":""靈"",""error_prob"":0.9835},{""offset"":285,""char"":""區"",""error_prob"":0.9899},{""offset"":286,""char"":""經"",""error_prob"":0.9419},{""offset"":287,""char"":""卷"",""error_prob"":0.8923},{""offset"":288,""char"":""二"",""error_prob"":0.9381},{""offset"":289,""char"":""一"",""error_prob"":0.9732},{""offset"":290,""char"":""四"",""error_prob"":0.9821},{""offset"":291,""char"":""雲"",""error_prob"":0.9689}]"
188,[]
189,"[{""offset"":15,""char"":""頼"",""error_prob"":0.9122},{""offset"":31,""char"":""羙"",""error_prob"":0.903},{""offset"":199,""char"":""人"",""error_prob"":0.9049},{""offset"":210,""char"":""比"",""error_prob"":0.9325},{""offset"":331,""char"":""轉"",""error_prob"":0.9486}]"
190,"[{""offset"":127,""char"":""緋"",""error_prob"":0.9973},{""offset"":130,""char"":""萑"",""error_prob"":0.9964},{""offset"":202,""char"":""哲"",""error_prob"":0.9318},{""offset"":213,""char"":""兩"",""error_prob"":0.8918},{""offset"":285,""char"":""逐"",""error_prob"":0.9708},{""offset"":341,""char"":""萍"",""error_prob"":0.9531},{""offset"":363,""char"":""戚"",""error_prob"":0.9042},{""offset"":437,""char"":""效"",""error_prob"":0.9398},{""offset"":438,""char"":""官"",""error_prob"":0.8045}]"
191,"[{""offset"":25,""char"":""顧"",""error_prob"":0.8074}]"
192,"[{""offset"":110,""char"":""𣏌"",""error_prob"":0.8431}]"
193,"[{""offset"":295,""char"":""官"",""error_prob"":0.8882},{""offset"":301,""char"":""走"",""error_prob"":0.9965},{""offset"":431,""char"":""牘"",""error_prob"":0.8148},{""offset"":447,""char"":""穹"",""error_prob"":0.9484}]"
194,[]
195,"[{""offset"":108,""char"":""咲"",""error_prob"":0.8449},{""offset"":119,""char"":""求"",""error_prob"":0.8795}]"
196,"[{""offset"":204,""char"":""褻"",""error_prob"":0.8841},{""offset"":395,""char"":""十"",""error_prob"":0.9836}]"
197,"[{""offset"":105,""char"":""朦"",""error_prob"":0.9525},{""offset"":169,""char"":""傳"",""error_prob"":0.8315},{""offset"":452,""char"":""傳"",""error_prob"":0.8207},{""offset"":460,""char"":""興"",""error_prob"":0.8284},{""offset"":486,""char"":""興"",""error_prob"":0.8153}]"
198,"[{""offset"":186,""char"":""负"",""error_prob"":0.9808},{""offset"":347,""char"":""滄"",""error_prob"":0.9015},{""offset"":448,""char"":""滄"",""error_prob"":0.8967}]"
199,"[{""offset"":308,""char"":""族"",""error_prob"":0.8033}]"
200,"[{""offset"":510,""char"":""兔"",""error_prob"":0.8277}]"
201,"[{""offset"":33,""char"":""即"",""error_prob"":0.9789},{""offset"":86,""char"":""翔"",""error_prob"":0.8149},{""offset"":127,""char"":""之"",""error_prob"":0.924},{""offset"":136,""char"":""詐"",""error_prob"":0.9818},{""offset"":209,""char"":""即"",""error_prob"":0.9991},{""offset"":223,""char"":""克"",""error_prob"":0.9972},{""offset"":337,""char"":""即"",""error_prob"":0.9991},{""offset"":356,""char"":""即"",""error_prob"":0.9988}]"
202,"[{""offset"":80,""char"":""競"",""error_prob"":0.8612},{""offset"":103,""char"":""戰"",""error_prob"":0.8267},{""offset"":420,""char"":""鈿"",""error_prob"":0.8744}]"
203,[]
204,"[{""offset"":160,""char"":""遣"",""error_prob"":0.8251},{""offset"":225,""char"":""䱉"",""error_prob"":0.882},{""offset"":237,""char"":""几"",""error_prob"":0.8154},{""offset"":239,""char"":""䳐"",""error_prob"":0.9073},{""offset"":276,""char"":""䳐"",""error_prob"":0.8591},{""offset"":391,""char"":""両"",""error_prob"":0.9766}]"
205,"[{""offset"":169,""char"":""䏿"",""error_prob"":0.817},{""offset"":171,""char"":""䏿"",""error_prob"":0.8691}]"
206,"[{""offset"":6,""char"":""哴"",""error_prob"":0.935},{""offset"":8,""char"":""哴"",""error_prob"":0.9074},{""offset"":119,""char"":""䁮"",""error_prob"":0.8981},{""offset"":126,""char"":""䁮"",""error_prob"":0.8723},{""offset"":146,""char"":""䁮"",""error_prob"":0.8334},{""offset"":336,""char"":""奘"",""error_prob"":0.8276},{""offset"":408,""char"":""奘"",""error_prob"":0.9235}]"
207,"[{""offset"":62,""char"":""宵"",""error_prob"":0.8154}]"
208,"[{""offset"":34,""char"":""徂"",""error_prob"":0.8777},{""offset"":102,""char"":""已"",""error_prob"":0.8744}]"
209,"[{""offset"":92,""char"":""襵"",""error_prob"":0.9976}]"
210,"[{""offset"":36,""char"":""將"",""error_prob"":0.9476},{""offset"":188,""char"":""代"",""error_prob"":0.8129},{""offset"":190,""char"":""記"",""error_prob"":0.8336},{""offset"":308,""char"":""慾"",""error_prob"":0.9916},{""offset"":444,""char"":""之"",""error_prob"":0.9228}]"
211,"[{""offset"":101,""char"":""碎"",""error_prob"":0.9927},{""offset"":142,""char"":""己"",""error_prob"":0.8966}]"
212,"[{""offset"":99,""char"":""革"",""error_prob"":0.8055},{""offset"":302,""char"":""也"",""error_prob"":0.9665},{""offset"":398,""char"":""未"",""error_prob"":0.9984}]"
213,"[{""offset"":71,""char"":""攢"",""error_prob"":0.817},{""offset"":147,""char"":""攢"",""error_prob"":0.8493},{""offset"":178,""char"":""性"",""error_prob"":0.8011},{""offset"":417,""char"":""餞"",""error_prob"":0.9414}]"
214,[]
215,"[{""offset"":32,""char"":""困"",""error_prob"":0.9469},{""offset"":312,""char"":""晩"",""error_prob"":0.8043},{""offset"":486,""char"":""朢"",""error_prob"":0.9695},{""offset"":487,""char"":""臬"",""error_prob"":0.8561}]"
216,"[{""offset"":108,""char"":""盡"",""error_prob"":0.8991},{""offset"":373,""char"":""逐"",""error_prob"":0.9951}]"
217,"[{""offset"":222,""char"":""喎"",""error_prob"":0.8342},{""offset"":293,""char"":""鼇"",""error_prob"":0.8945},{""offset"":357,""char"":""䚡"",""error_prob"":0.9026}]"
218,"[{""offset"":16,""char"":""己"",""error_prob"":0.9489},{""offset"":104,""char"":""驘"",""error_prob"":0.8002},{""offset"":188,""char"":""癩"",""error_prob"":0.8247},{""offset"":305,""char"":""己"",""error_prob"":0.9544},{""offset"":313,""char"":""鮮"",""error_prob"":0.8414}]"
219,"[{""offset"":73,""char"":""沫"",""error_prob"":0.8055},{""offset"":89,""char"":""㢝"",""error_prob"":0.8482},{""offset"":105,""char"":""㢝"",""error_prob"":0.8359}]"
220,"[{""offset"":34,""char"":""豎"",""error_prob"":0.8011},{""offset"":77,""char"":""㮏"",""error_prob"":0.9391}]"
221,"[{""offset"":78,""char"":""曰"",""error_prob"":0.854}]"
222,[]
223,[]
224,[]
225,"[{""offset"":400,""char"":""茫"",""error_prob"":0.9429}]"
226,"[{""offset"":234,""char"":""笛"",""error_prob"":0.928},{""offset"":342,""char"":""苗"",""error_prob"":0.8084}]"
227,"[{""offset"":108,""char"":""泩"",""error_prob"":0.9941},{""offset"":139,""char"":""夗"",""error_prob"":0.9842},{""offset"":177,""char"":""浚"",""error_prob"":0.9847},{""offset"":234,""char"":""岳"",""error_prob"":0.9213},{""offset"":264,""char"":""沒"",""error_prob"":0.9118},{""offset"":319,""char"":""淂"",""error_prob"":0.9763}]"
228,"[{""offset"":28,""char"":""頗"",""error_prob"":0.9852}]"
229,"[{""offset"":63,""char"":""潛"",""error_prob"":0.8639},{""offset"":318,""char"":""藪"",""error_prob"":0.967},{""offset"":326,""char"":""藪"",""error_prob"":0.9647}]"
230,"[{""offset"":204,""char"":""趣"",""error_prob"":0.9317}]"
231,"[{""offset"":145,""char"":""詁"",""error_prob"":0.8251},{""offset"":155,""char"":""話"",""error_prob"":0.8588}]"
232,"[{""offset"":148,""char"":""猛"",""error_prob"":0.8205},{""offset"":152,""char"":""蜜"",""error_prob"":0.8328},{""offset"":292,""char"":""慟"",""error_prob"":0.8633},{""offset"":294,""char"":""彛"",""error_prob"":0.921}]"
233,[]
234,"[{""offset"":59,""char"":""邵"",""error_prob"":0.8915}]"
235,"[{""offset"":5,""char"":""字"",""error_prob"":0.8052},{""offset"":311,""char"":""呴"",""error_prob"":0.9881},{""offset"":325,""char"":""諸"",""error_prob"":0.9034},{""offset"":326,""char"":""曰"",""error_prob"":0.8821}]"
236,"[{""offset"":6,""char"":""罵"",""error_prob"":0.9513},{""offset"":41,""char"":""荒"",""error_prob"":0.9473},{""offset"":42,""char"":""入"",""error_prob"":0.9119},{""offset"":43,""char"":""救"",""error_prob"":0.8817},{""offset"":170,""char"":""壟"",""error_prob"":0.9585},{""offset"":199,""char"":""流"",""error_prob"":0.89},{""offset"":317,""char"":""顏"",""error_prob"":0.8001},{""offset"":329,""char"":""光"",""error_prob"":0.8633},{""offset"":348,""char"":""慾"",""error_prob"":0.9862},{""offset"":372,""char"":""徴"",""error_prob"":0.9548},{""offset"":469,""char"":""漼"",""error_prob"":0.9915}]"
237,"[{""offset"":25,""char"":""慾"",""error_prob"":0.9765},{""offset"":247,""char"":""着"",""error_prob"":0.9417},{""offset"":547,""char"":""閗"",""error_prob"":0.989},{""offset"":557,""char"":""恋"",""error_prob"":0.9473}]"
238,"[{""offset"":16,""char"":""倫"",""error_prob"":0.8126},{""offset"":175,""char"":""涕"",""error_prob"":0.9891},{""offset"":190,""char"":""卿"",""error_prob"":0.978},{""offset"":208,""char"":""齣"",""error_prob"":0.9347}]"
239,[]
240,"[{""offset"":63,""char"":""寓"",""error_prob"":0.9444},{""offset"":122,""char"":""㧞"",""error_prob"":0.8427},{""offset"":163,""char"":""此"",""error_prob"":0.817}]"
241,[]
242,[]
243,"[{""offset"":295,""char"":""湎"",""error_prob"":0.9002}]"
244,[]
245,[]
246,"[{""offset"":75,""char"":""士"",""error_prob"":0.8986},{""offset"":354,""char"":""璋"",""error_prob"":0.8529}]"
247,"[{""offset"":4,""char"":""己"",""error_prob"":0.8917},{""offset"":7,""char"":""己"",""error_prob"":0.9192},{""offset"":23,""char"":""己"",""error_prob"":0.9353},{""offset"":410,""char"":""厷"",""error_prob"":0.9931}]"
248,"[{""offset"":258,""char"":""良"",""error_prob"":0.9424},{""offset"":402,""char"":""績"",""error_prob"":0.9483}]"
249,[]
250,"[{""offset"":39,""char"":""齒"",""error_prob"":0.9584}]"
251,[]
252,[]
253,[]
254,[]
255,"[{""offset"":312,""char"":""簙"",""error_prob"":0.8357},{""offset"":355,""char"":""簿"",""error_prob"":0.8073},{""offset"":356,""char"":""齿"",""error_prob"":0.8483},{""offset"":457,""char"":""骑"",""error_prob"":0.9249},{""offset"":517,""char"":""郑"",""error_prob"":0.8527},{""offset"":575,""char"":""虑"",""error_prob"":0.9325},{""offset"":769,""char"":""递"",""error_prob"":0.8338}]"
256,"[{""offset"":95,""char"":""業"",""error_prob"":0.8767},{""offset"":113,""char"":""子"",""error_prob"":0.955},{""offset"":194,""char"":""詣"",""error_prob"":0.9255},{""offset"":294,""char"":""巒"",""error_prob"":0.8154},{""offset"":378,""char"":""枯"",""error_prob"":0.9007},{""offset"":380,""char"":""釣"",""error_prob"":0.9633},{""offset"":407,""char"":""駮"",""error_prob"":0.8337},{""offset"":620,""char"":""垌"",""error_prob"":0.9709}]"
257,"[{""offset"":99,""char"":""雖"",""error_prob"":0.8416},{""offset"":381,""char"":""干"",""error_prob"":0.972}]"
258,"[{""offset"":22,""char"":""紫"",""error_prob"":0.8236},{""offset"":64,""char"":""李"",""error_prob"":0.9134},{""offset"":96,""char"":""兼"",""error_prob"":0.8592},{""offset"":200,""char"":""丈"",""error_prob"":0.9305},{""offset"":205,""char"":""嶫"",""error_prob"":0.8381},{""offset"":215,""char"":""一"",""error_prob"":0.8262},{""offset"":257,""char"":""觕"",""error_prob"":0.9692},{""offset"":313,""char"":""寨"",""error_prob"":0.9099}]"
259,[]
260,[]
261,"[{""offset"":25,""char"":""扬"",""error_prob"":0.9423},{""offset"":152,""char"":""適"",""error_prob"":0.9356}]"
262,"[{""offset"":176,""char"":""終"",""error_prob"":0.9626},{""offset"":178,""char"":""廣"",""error_prob"":0.9305},{""offset"":179,""char"":""東"",""error_prob"":0.9231},{""offset"":180,""char"":""新"",""error_prob"":0.8687},{""offset"":181,""char"":""語"",""error_prob"":0.8957},{""offset"":187,""char"":""分"",""error_prob"":0.837},{""offset"":188,""char"":""目"",""error_prob"":0.8434},{""offset"":190,""char"":""鱗"",""error_prob"":0.8569},{""offset"":191,""char"":""語"",""error_prob"":0.8922},{""offset"":193,""char"":""龍"",""error_prob"":0.8023}]"
263,[]
264,[]
265,"[{""offset"":259,""char"":""儆"",""error_prob"":0.9936}]"
266,[]
267,"[{""offset"":114,""char"":""梔"",""error_prob"":0.9005},{""offset"":120,""char"":""鑀"",""error_prob"":0.8536},{""offset"":150,""char"":""子"",""error_prob"":0.9854},{""offset"":190,""char"":""蓏"",""error_prob"":0.911},{""offset"":204,""char"":""樀"",""error_prob"":0.9318},{""offset"":205,""char"":""樀"",""error_prob"":0.969},{""offset"":223,""char"":""揚"",""error_prob"":0.9036},{""offset"":226,""char"":""麋"",""error_prob"":0.8115},{""offset"":269,""char"":""鴟"",""error_prob"":0.9585}]"
268,"[{""offset"":113,""char"":""己"",""error_prob"":0.9309}]"
269,"[{""offset"":31,""char"":""沃"",""error_prob"":0.8409},{""offset"":32,""char"":""沃"",""error_prob"":0.8971},{""offset"":48,""char"":""硠"",""error_prob"":0.8837},{""offset"":52,""char"":""沅"",""error_prob"":0.9874},{""offset"":296,""char"":""闐"",""error_prob"":0.9784}]"
270,[]
271,[]
272,"[{""offset"":133,""char"":""楊"",""error_prob"":0.9183},{""offset"":162,""char"":""安"",""error_prob"":0.9439}]"
273,"[{""offset"":25,""char"":""廬"",""error_prob"":0.8066},{""offset"":68,""char"":""兔"",""error_prob"":0.805},{""offset"":432,""char"":""盜"",""error_prob"":0.9384}]"
274,[]
275,"[{""offset"":195,""char"":""漸"",""error_prob"":0.9093}]"
276,"[{""offset"":54,""char"":""則"",""error_prob"":0.981}]"
277,"[{""offset"":237,""char"":""燧"",""error_prob"":0.9083},{""offset"":304,""char"":""陋"",""error_prob"":0.9417},{""offset"":407,""char"":""倣"",""error_prob"":0.9625}]"
278,"[{""offset"":35,""char"":""闢"",""error_prob"":0.9477},{""offset"":115,""char"":""域"",""error_prob"":0.9751},{""offset"":217,""char"":""蘇"",""error_prob"":0.8455}]"
279,"[{""offset"":12,""char"":""逆"",""error_prob"":0.831},{""offset"":19,""char"":""腦"",""error_prob"":0.9275},{""offset"":24,""char"":""顱"",""error_prob"":0.9796},{""offset"":29,""char"":""子"",""error_prob"":0.9898},{""offset"":45,""char"":""楚"",""error_prob"":0.8302},{""offset"":120,""char"":""子"",""error_prob"":0.9205},{""offset"":254,""char"":""欵"",""error_prob"":0.8324},{""offset"":402,""char"":""共"",""error_prob"":0.8986},{""offset"":412,""char"":""己"",""error_prob"":0.9354}]"
280,"[{""offset"":107,""char"":""遼"",""error_prob"":0.9667},{""offset"":121,""char"":""鸛"",""error_prob"":0.9286},{""offset"":126,""char"":""玃"",""error_prob"":0.9219},{""offset"":359,""char"":""拍"",""error_prob"":0.9677}]"
281,"[{""offset"":9,""char"":""錀"",""error_prob"":0.9976},{""offset"":17,""char"":""卦"",""error_prob"":0.9398},{""offset"":31,""char"":""遠"",""error_prob"":0.865},{""offset"":45,""char"":""麋"",""error_prob"":0.9729},{""offset"":96,""char"":""㳺"",""error_prob"":0.8148},{""offset"":218,""char"":""琬"",""error_prob"":0.9832},{""offset"":291,""char"":""鿃"",""error_prob"":0.8036},{""offset"":292,""char"":""鿃"",""error_prob"":0.8716},{""offset"":334,""char"":""穀"",""error_prob"":0.8603},{""offset"":357,""char"":""波"",""error_prob"":0.9479},{""offset"":412,""char"":""止"",""error_prob"":0.991}]"
282,"[{""offset"":124,""char"":""渘"",""error_prob"":0.8635}]"
283,[]
284,"[{""offset"":214,""char"":""慾"",""error_prob"":0.9319}]"
285,"[{""offset"":251,""char"":""禹"",""error_prob"":0.9665}]"
286,"[{""offset"":138,""char"":""孑"",""error_prob"":0.9783}]"
287,[]
288,[]
289,[]
290,"[{""offset"":17,""char"":""況"",""error_prob"":0.971},{""offset"":143,""char"":""織"",""error_prob"":0.9925},{""offset"":318,""char"":""織"",""error_prob"":0.9897},{""offset"":331,""char"":""織"",""error_prob"":0.9917},{""offset"":368,""char"":""織"",""error_prob"":0.9919}]"
291,[]
292,[]
293,"[{""offset"":206,""char"":""勵"",""error_prob"":0.9775},{""offset"":213,""char"":""諧"",""error_prob"":0.9893}]"
294,"[{""offset"":105,""char"":""兩"",""error_prob"":0.957},{""offset"":224,""char"":""逺"",""error_prob"":0.8591},{""offset"":232,""char"":""凢"",""error_prob"":0.9226}]"
295,[]
296,"[{""offset"":231,""char"":""己"",""error_prob"":0.9769}]"
297,[]
298,"[{""offset"":46,""char"":""橐"",""error_prob"":0.8131}]"
299,"[{""offset"":139,""char"":""杞"",""error_prob"":0.8147},{""offset"":383,""char"":""煚"",""error_prob"":0.8412},{""offset"":387,""char"":""璽"",""error_prob"":0.8234},{""offset"":391,""char"":""紱"",""error_prob"":0.8304},{""offset"":415,""char"":""述"",""error_prob"":0.9733}]"
300,"[{""offset"":9,""char"":""校"",""error_prob"":0.8818},{""offset"":31,""char"":""呂"",""error_prob"":0.8551},{""offset"":152,""char"":""姝"",""error_prob"":0.8498},{""offset"":220,""char"":""爲"",""error_prob"":0.8656},{""offset"":346,""char"":""辛"",""error_prob"":0.8118},{""offset"":446,""char"":""思"",""error_prob"":0.864}]"
301,"[{""offset"":95,""char"":""火"",""error_prob"":0.8361},{""offset"":406,""char"":""翻"",""error_prob"":0.9624},{""offset"":431,""char"":""戶"",""error_prob"":0.8734},{""offset"":432,""char"":""剛"",""error_prob"":0.8063},{""offset"":444,""char"":""矦"",""error_prob"":0.8757}]"
302,[]
303,[]
304,[]
305,"[{""offset"":272,""char"":""稁"",""error_prob"":0.9251},{""offset"":335,""char"":""闗"",""error_prob"":0.9628}]"
306,[]
307,"[{""offset"":96,""char"":""剜"",""error_prob"":0.9249}]"
308,"[{""offset"":383,""char"":""鼒"",""error_prob"":0.9406},{""offset"":431,""char"":""閼"",""error_prob"":0.9727}]"
309,"[{""offset"":426,""char"":""惠"",""error_prob"":0.8567},{""offset"":465,""char"":""荀"",""error_prob"":0.9919},{""offset"":513,""char"":""成"",""error_prob"":0.8227}]"
310,"[{""offset"":99,""char"":""渾"",""error_prob"":0.9166},{""offset"":399,""char"":""伐"",""error_prob"":0.8104}]"
311,"[{""offset"":179,""char"":""八"",""error_prob"":0.9809},{""offset"":238,""char"":""雌"",""error_prob"":0.9914},{""offset"":569,""char"":""宮"",""error_prob"":0.8475}]"
312,[]
313,"[{""offset"":233,""char"":""乂"",""error_prob"":0.9889},{""offset"":268,""char"":""己"",""error_prob"":0.9618},{""offset"":293,""char"":""玎"",""error_prob"":0.9468},{""offset"":299,""char"":""玎"",""error_prob"":0.9054},{""offset"":313,""char"":""玎"",""error_prob"":0.9444},{""offset"":361,""char"":""玎"",""error_prob"":0.9537}]"
314,[]
315,"[{""offset"":32,""char"":""壞"",""error_prob"":0.8463}]"
316,"[{""offset"":7,""char"":""餠"",""error_prob"":0.9033},{""offset"":8,""char"":""飬"",""error_prob"":0.9456},{""offset"":75,""char"":""骰"",""error_prob"":0.8408},{""offset"":276,""char"":""興"",""error_prob"":0.8385}]"
317,"[{""offset"":18,""char"":""訐"",""error_prob"":0.9399},{""offset"":32,""char"":""晊"",""error_prob"":0.8126},{""offset"":36,""char"":""蓆"",""error_prob"":0.9568},{""offset"":66,""char"":""訐"",""error_prob"":0.9776},{""offset"":95,""char"":""蓆"",""error_prob"":0.819},{""offset"":129,""char"":""憮"",""error_prob"":0.8954},{""offset"":155,""char"":""艐"",""error_prob"":0.8896},{""offset"":180,""char"":""摧"",""error_prob"":0.8699},{""offset"":248,""char"":""彀"",""error_prob"":0.966},{""offset"":292,""char"":""彀"",""error_prob"":0.9619},{""offset"":338,""char"":""妉"",""error_prob"":0.9561},{""offset"":395,""char"":""漠"",""error_prob"":0.9527}]"
318,"[{""offset"":41,""char"":""肴"",""error_prob"":0.9526},{""offset"":101,""char"":""肴"",""error_prob"":0.9185},{""offset"":136,""char"":""肴"",""error_prob"":0.9093},{""offset"":146,""char"":""肴"",""error_prob"":0.9191},{""offset"":183,""char"":""肴"",""error_prob"":0.9073},{""offset"":216,""char"":""肴"",""error_prob"":0.9212},{""offset"":249,""char"":""罷"",""error_prob"":0.9164},{""offset"":460,""char"":""省"",""error_prob"":0.8737},{""offset"":477,""char"":""省"",""error_prob"":0.8702}]"
319,[]
